,movie_code,duration,facenumber_in_poster,country,budget,gross,num_voted_users,num_user_for_reviews,num_critic_for_reviews,movie_facebook_likes,director_facebook_likes,actor_1_facebook_likes,actor_2_facebook_likes,actor_3_facebook_likes,cast_total_facebook_likes,imdb_score,imdb_score_class
3008,3009,132.0,0.0,China,12000000.0,119922.0,8429,62.0,149.0,0,14.0,52.0,32.0,3.0,91,7.7,Good
3081,3082,97.0,1.0,Canada,12500000.0,,1337,28.0,17.0,392,4.0,882.0,450.0,194.0,1554,6.3,Good
1879,1880,101.0,2.0,UK,,,2863,25.0,78.0,488,187.0,554.0,213.0,127.0,1041,4.7,Fair
797,798,131.0,3.0,USA,60000000.0,18208078.0,57100,281.0,110.0,0,37.0,968.0,848.0,507.0,3012,6.9,Good
2876,2877,112.0,1.0,USA,13000000.0,3169424.0,18442,59.0,104.0,689,37.0,748.0,573.0,548.0,2417,6.8,Good
4388,4389,103.0,1.0,USA,1600000.0,,11920,90.0,55.0,721,673.0,281.0,230.0,89.0,955,7.4,Good
4627,4628,95.0,0.0,USA,1000000.0,,6256,19.0,39.0,936,53.0,677.0,366.0,253.0,1825,5.2,Fair
2888,2889,88.0,6.0,UK,13000000.0,1024175.0,82331,297.0,399.0,18000,115.0,1000.0,305.0,304.0,2011,6.6,Good
1227,1228,108.0,0.0,USA,40000000.0,53955614.0,77415,139.0,100.0,0,287.0,4000.0,835.0,823.0,8610,6.1,Good
1519,1520,114.0,1.0,USA,34000000.0,6543194.0,3740,61.0,52.0,314,46.0,818.0,649.0,292.0,1778,5.6,Fair
3538,3539,45.0,0.0,USA,7000000.0,,192,6.0,2.0,41,24.0,122.0,35.0,29.0,236,6.0,Fair
1215,1216,114.0,2.0,USA,40000000.0,70836296.0,109445,426.0,109.0,0,101.0,700.0,655.0,398.0,2842,5.9,Fair
3228,3229,110.0,3.0,UK,,152857.0,19979,56.0,112.0,0,26.0,17000.0,793.0,146.0,18236,7.0,Good
