,movie_code,duration,facenumber_in_poster,country,budget,gross,num_voted_users,num_user_for_reviews,num_critic_for_reviews,movie_facebook_likes,director_facebook_likes,actor_1_facebook_likes,actor_2_facebook_likes,actor_3_facebook_likes,cast_total_facebook_likes,imdb_score,imdb_score_class
1977,1978,140.0,1.0,USA,25000000.0,13651662.0,332276,514.0,317.0,77000,149.0,27000.0,798.0,581.0,29692,8.2,Excellent
1717,1718,80.0,1.0,USA,,3101301.0,3926,38.0,41.0,353,9.0,17000.0,2000.0,826.0,21519,4.0,Bad
3494,3495,79.0,0.0,USA,350000.0,,440,21.0,8.0,44,0.0,246.0,29.0,23.0,345,4.1,Fair
3284,3285,120.0,6.0,USA,9000000.0,34074895.0,6525,79.0,32.0,0,92.0,1000.0,886.0,862.0,5420,6.7,Good
2124,2125,120.0,1.0,France,16000000.0,634277.0,5166,27.0,78.0,815,2.0,809.0,521.0,80.0,1651,7.3,Good
3918,3919,127.0,0.0,USA,4000000.0,,12677,89.0,50.0,414,13000.0,204.0,187.0,148.0,753,6.3,Good
9,10,183.0,0.0,USA,250000000.0,330249062.0,371639,3018.0,673.0,197000,0.0,15000.0,4000.0,2000.0,24450,6.9,Good
2949,2950,102.0,1.0,USA,12000000.0,,3000,75.0,70.0,902,287.0,452.0,122.0,79.0,729,5.4,Fair
2062,2063,101.0,0.0,USA,23000000.0,12189514.0,30092,129.0,65.0,0,3.0,448.0,143.0,120.0,829,6.1,Good
3262,3263,102.0,7.0,UK,10000000.0,,5865,12.0,29.0,1000,7.0,31000.0,1000.0,1000.0,35634,6.0,Fair
877,878,107.0,1.0,USA,50000000.0,20550712.0,40346,95.0,47.0,1000,99.0,18000.0,11000.0,581.0,31014,5.6,Fair
365,366,128.0,3.0,USA,90000000.0,209019489.0,477300,621.0,415.0,20000,0.0,21000.0,979.0,727.0,23996,7.6,Good
4037,4038,92.0,0.0,USA,2000000.0,7680.0,704,18.0,16.0,100,4.0,631.0,443.0,405.0,2020,6.4,Good
608,609,116.0,0.0,USA,70000000.0,40932372.0,58023,281.0,120.0,0,380.0,18000.0,13000.0,774.0,32563,6.3,Good
3062,3063,104.0,1.0,USA,11000000.0,13214255.0,96233,313.0,535.0,26000,1000.0,3000.0,275.0,272.0,4082,7.4,Good
4866,4867,75.0,1.0,USA,,47111.0,1227,11.0,27.0,62,269.0,100.0,8.0,7.0,127,6.8,Good
4836,4837,102.0,0.0,India,300000.0,16892.0,341,12.0,15.0,379,95.0,,,,0,7.6,Good
